Wed, 24 Jan 2018 23:00:06 INFO 
=====Config====
model_name = Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 1.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Conv3d_2018-01-24 23:00:05.log
save_model_path = saved_models/Conv3d_2018-01-24 23:00:05/
=====Config====

Wed, 24 Jan 2018 23:02:42 INFO [Test] Epoch:17, TP:39, TN:8, FP:11, FN:2, Loss:0.906682, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 23:02:48 INFO [Train] Epoch:18, TP:178, TN:62, FP:0, FN:0, Loss:0.014572, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:02:49 INFO [Test] Epoch:18, TP:39, TN:9, FP:10, FN:2, Loss:0.720145, Accuracy:0.800000, F1:0.866667
Wed, 24 Jan 2018 23:02:56 INFO [Train] Epoch:19, TP:177, TN:62, FP:0, FN:1, Loss:0.022021, Accuracy:0.995833, F1:0.997183
Wed, 24 Jan 2018 23:02:57 INFO [Test] Epoch:19, TP:38, TN:14, FP:5, FN:3, Loss:0.501273, Accuracy:0.866667, F1:0.904762
Wed, 24 Jan 2018 23:03:03 INFO [Train] Epoch:20, TP:178, TN:62, FP:0, FN:0, Loss:0.010211, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:03:04 INFO [Test] Epoch:20, TP:39, TN:6, FP:13, FN:2, Loss:0.989919, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 23:03:11 INFO [Train] Epoch:21, TP:178, TN:61, FP:1, FN:0, Loss:0.018786, Accuracy:0.995833, F1:0.997199
Wed, 24 Jan 2018 23:03:12 INFO [Test] Epoch:21, TP:39, TN:6, FP:13, FN:2, Loss:1.150106, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 23:03:19 INFO [Train] Epoch:22, TP:178, TN:62, FP:0, FN:0, Loss:0.009891, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:03:19 INFO [Test] Epoch:22, TP:39, TN:7, FP:12, FN:2, Loss:0.772183, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:03:26 INFO [Train] Epoch:23, TP:178, TN:62, FP:0, FN:0, Loss:0.018100, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:03:26 INFO [Test] Epoch:23, TP:37, TN:15, FP:4, FN:4, Loss:0.493371, Accuracy:0.866667, F1:0.902439
Wed, 24 Jan 2018 23:03:33 INFO [Train] Epoch:24, TP:178, TN:62, FP:0, FN:0, Loss:0.002883, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:03:34 INFO [Test] Epoch:24, TP:39, TN:9, FP:10, FN:2, Loss:0.858868, Accuracy:0.800000, F1:0.866667
Wed, 24 Jan 2018 23:03:41 INFO [Train] Epoch:25, TP:178, TN:62, FP:0, FN:0, Loss:0.001533, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:03:41 INFO [Test] Epoch:25, TP:39, TN:11, FP:8, FN:2, Loss:0.670471, Accuracy:0.833333, F1:0.886364
Wed, 24 Jan 2018 23:03:48 INFO [Train] Epoch:26, TP:167, TN:62, FP:0, FN:11, Loss:0.110065, Accuracy:0.954167, F1:0.968116
Wed, 24 Jan 2018 23:03:49 INFO [Test] Epoch:26, TP:35, TN:16, FP:3, FN:6, Loss:0.752160, Accuracy:0.850000, F1:0.886076
Wed, 24 Jan 2018 23:03:55 INFO [Train] Epoch:27, TP:178, TN:18, FP:44, FN:0, Loss:0.501535, Accuracy:0.816667, F1:0.890000
Wed, 24 Jan 2018 23:03:56 INFO [Test] Epoch:27, TP:41, TN:1, FP:18, FN:0, Loss:3.298370, Accuracy:0.700000, F1:0.820000
Wed, 24 Jan 2018 23:04:03 INFO [Train] Epoch:28, TP:178, TN:62, FP:0, FN:0, Loss:0.000454, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:04:03 INFO [Test] Epoch:28, TP:39, TN:10, FP:9, FN:2, Loss:0.824514, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:04:10 INFO [Train] Epoch:29, TP:178, TN:62, FP:0, FN:0, Loss:0.000352, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:04:11 INFO [Test] Epoch:29, TP:39, TN:8, FP:11, FN:2, Loss:0.999807, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 23:04:17 INFO [Train] Epoch:30, TP:178, TN:62, FP:0, FN:0, Loss:0.001037, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:04:18 INFO [Test] Epoch:30, TP:39, TN:7, FP:12, FN:2, Loss:1.343274, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:04:25 INFO [Train] Epoch:31, TP:115, TN:62, FP:0, FN:63, Loss:0.662284, Accuracy:0.737500, F1:0.784983
Wed, 24 Jan 2018 23:04:25 INFO [Test] Epoch:31, TP:23, TN:19, FP:0, FN:18, Loss:1.527589, Accuracy:0.700000, F1:0.718750
Wed, 24 Jan 2018 23:04:32 INFO [Train] Epoch:32, TP:178, TN:62, FP:0, FN:0, Loss:0.000300, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:04:33 INFO [Test] Epoch:32, TP:39, TN:10, FP:9, FN:2, Loss:0.849977, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:04:39 INFO [Train] Epoch:33, TP:178, TN:61, FP:1, FN:0, Loss:0.011254, Accuracy:0.995833, F1:0.997199
Wed, 24 Jan 2018 23:04:40 INFO [Test] Epoch:33, TP:39, TN:3, FP:16, FN:2, Loss:1.813632, Accuracy:0.700000, F1:0.812500
Wed, 24 Jan 2018 23:04:47 INFO [Train] Epoch:34, TP:178, TN:61, FP:1, FN:0, Loss:0.013658, Accuracy:0.995833, F1:0.997199
Wed, 24 Jan 2018 23:04:47 INFO [Test] Epoch:34, TP:40, TN:3, FP:16, FN:1, Loss:2.134640, Accuracy:0.716667, F1:0.824742
Wed, 24 Jan 2018 23:04:54 INFO [Train] Epoch:35, TP:178, TN:62, FP:0, FN:0, Loss:0.000737, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:04:55 INFO [Test] Epoch:35, TP:39, TN:13, FP:6, FN:2, Loss:0.785059, Accuracy:0.866667, F1:0.906977
Wed, 24 Jan 2018 23:05:02 INFO [Train] Epoch:36, TP:178, TN:62, FP:0, FN:0, Loss:0.000121, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:02 INFO [Test] Epoch:36, TP:39, TN:10, FP:9, FN:2, Loss:1.050234, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:05:09 INFO [Train] Epoch:37, TP:178, TN:62, FP:0, FN:0, Loss:0.000275, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:10 INFO [Test] Epoch:37, TP:39, TN:8, FP:11, FN:2, Loss:1.070636, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 23:05:17 INFO [Train] Epoch:38, TP:178, TN:62, FP:0, FN:0, Loss:0.000503, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:17 INFO [Test] Epoch:38, TP:39, TN:12, FP:7, FN:2, Loss:0.785265, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:05:24 INFO [Train] Epoch:39, TP:178, TN:62, FP:0, FN:0, Loss:0.000185, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:24 INFO [Test] Epoch:39, TP:39, TN:12, FP:7, FN:2, Loss:0.897289, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:05:31 INFO [Train] Epoch:40, TP:178, TN:62, FP:0, FN:0, Loss:0.000220, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:32 INFO [Test] Epoch:40, TP:39, TN:10, FP:9, FN:2, Loss:0.969686, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:05:39 INFO [Train] Epoch:41, TP:178, TN:62, FP:0, FN:0, Loss:0.000110, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:39 INFO [Test] Epoch:41, TP:38, TN:11, FP:8, FN:3, Loss:0.896503, Accuracy:0.816667, F1:0.873563
Wed, 24 Jan 2018 23:05:46 INFO [Train] Epoch:42, TP:178, TN:62, FP:0, FN:0, Loss:0.000059, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:47 INFO [Test] Epoch:42, TP:38, TN:14, FP:5, FN:3, Loss:0.858326, Accuracy:0.866667, F1:0.904762
Wed, 24 Jan 2018 23:05:54 INFO [Train] Epoch:43, TP:178, TN:62, FP:0, FN:0, Loss:0.000056, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:05:54 INFO [Test] Epoch:43, TP:38, TN:14, FP:5, FN:3, Loss:0.840281, Accuracy:0.866667, F1:0.904762
Wed, 24 Jan 2018 23:06:01 INFO [Train] Epoch:44, TP:178, TN:62, FP:0, FN:0, Loss:0.000908, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:01 INFO [Test] Epoch:44, TP:39, TN:8, FP:11, FN:2, Loss:1.324843, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 23:06:08 INFO [Train] Epoch:45, TP:178, TN:62, FP:0, FN:0, Loss:0.002187, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:09 INFO [Test] Epoch:45, TP:39, TN:7, FP:12, FN:2, Loss:1.589980, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 23:06:26 INFO [Train] Epoch:46, TP:178, TN:62, FP:0, FN:0, Loss:0.000071, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:26 INFO [Test] Epoch:46, TP:39, TN:12, FP:7, FN:2, Loss:0.817137, Accuracy:0.850000, F1:0.896552
Wed, 24 Jan 2018 23:06:33 INFO [Train] Epoch:47, TP:178, TN:62, FP:0, FN:0, Loss:0.000070, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:34 INFO [Test] Epoch:47, TP:39, TN:13, FP:6, FN:2, Loss:0.802007, Accuracy:0.866667, F1:0.906977
Wed, 24 Jan 2018 23:06:41 INFO [Train] Epoch:48, TP:62, TN:62, FP:0, FN:116, Loss:1.910862, Accuracy:0.516667, F1:0.516667
Wed, 24 Jan 2018 23:06:41 INFO [Test] Epoch:48, TP:12, TN:19, FP:0, FN:29, Loss:3.230897, Accuracy:0.516667, F1:0.452830
Wed, 24 Jan 2018 23:06:48 INFO [Train] Epoch:49, TP:178, TN:62, FP:0, FN:0, Loss:0.000039, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:48 INFO [Test] Epoch:49, TP:39, TN:10, FP:9, FN:2, Loss:1.202026, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:06:55 INFO [Train] Epoch:50, TP:178, TN:62, FP:0, FN:0, Loss:0.000017, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:06:56 INFO [Test] Epoch:50, TP:39, TN:10, FP:9, FN:2, Loss:1.067129, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:07:03 INFO [Train] Epoch:51, TP:178, TN:62, FP:0, FN:0, Loss:0.000121, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:03 INFO [Test] Epoch:51, TP:39, TN:10, FP:9, FN:2, Loss:1.179626, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 23:07:10 INFO [Train] Epoch:52, TP:178, TN:62, FP:0, FN:0, Loss:0.000012, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:10 INFO [Test] Epoch:52, TP:39, TN:13, FP:6, FN:2, Loss:1.009605, Accuracy:0.866667, F1:0.906977
Wed, 24 Jan 2018 23:07:17 INFO [Train] Epoch:53, TP:178, TN:62, FP:0, FN:0, Loss:0.000190, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:18 INFO [Test] Epoch:53, TP:37, TN:15, FP:4, FN:4, Loss:0.959004, Accuracy:0.866667, F1:0.902439
Wed, 24 Jan 2018 23:07:25 INFO [Train] Epoch:54, TP:178, TN:62, FP:0, FN:0, Loss:0.000151, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:25 INFO [Test] Epoch:54, TP:37, TN:15, FP:4, FN:4, Loss:0.981159, Accuracy:0.866667, F1:0.902439
Wed, 24 Jan 2018 23:07:32 INFO [Train] Epoch:55, TP:178, TN:62, FP:0, FN:0, Loss:0.000069, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 23:07:33 INFO [Test] Epoch:55, TP:38, TN:8, FP:11, FN:3, Loss:1.523252, Accuracy:0.766667, F1:0.844444
