Wed, 24 Jan 2018 21:02:13 INFO 
=====Config====
model_name = Shadow_Conv3d  
is_training = True      
max_epoch = 200
gpu_num = 1
lr = 0.5
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.8
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Shadow_Conv3d_2018-01-24 21:02:12.log
save_model_path = saved_models/Shadow_Conv3d_2018-01-24 21:02:12/
=====Config====

Wed, 24 Jan 2018 21:04:15 INFO [Test] Epoch:17, TP:39, TN:8, FP:11, FN:2, Loss:0.548384, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:04:28 INFO [Train] Epoch:18, TP:178, TN:62, FP:0, FN:0, Loss:0.011231, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:04:29 INFO [Test] Epoch:18, TP:39, TN:6, FP:13, FN:2, Loss:0.539454, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:04:33 INFO [Train] Epoch:19, TP:177, TN:62, FP:0, FN:1, Loss:0.020476, Accuracy:0.995833, F1:0.997183
Wed, 24 Jan 2018 21:04:34 INFO [Test] Epoch:19, TP:39, TN:10, FP:9, FN:2, Loss:0.448252, Accuracy:0.816667, F1:0.876404
Wed, 24 Jan 2018 21:04:38 INFO [Train] Epoch:20, TP:151, TN:62, FP:0, FN:27, Loss:0.243303, Accuracy:0.887500, F1:0.917933
Wed, 24 Jan 2018 21:04:39 INFO [Test] Epoch:20, TP:30, TN:18, FP:1, FN:11, Loss:0.648729, Accuracy:0.800000, F1:0.833333
Wed, 24 Jan 2018 21:04:43 INFO [Train] Epoch:21, TP:178, TN:62, FP:0, FN:0, Loss:0.005683, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:04:44 INFO [Test] Epoch:21, TP:39, TN:8, FP:11, FN:2, Loss:0.533511, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:04:49 INFO [Train] Epoch:22, TP:178, TN:62, FP:0, FN:0, Loss:0.005068, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:04:49 INFO [Test] Epoch:22, TP:39, TN:6, FP:13, FN:2, Loss:0.721592, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:04:54 INFO [Train] Epoch:23, TP:178, TN:62, FP:0, FN:0, Loss:0.004917, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:04:54 INFO [Test] Epoch:23, TP:39, TN:8, FP:11, FN:2, Loss:0.599744, Accuracy:0.783333, F1:0.857143
Wed, 24 Jan 2018 21:04:59 INFO [Train] Epoch:24, TP:178, TN:62, FP:0, FN:0, Loss:0.003846, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:04:59 INFO [Test] Epoch:24, TP:39, TN:7, FP:12, FN:2, Loss:0.682668, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:05:04 INFO [Train] Epoch:25, TP:170, TN:62, FP:0, FN:8, Loss:0.120434, Accuracy:0.966667, F1:0.977011
Wed, 24 Jan 2018 21:05:04 INFO [Test] Epoch:25, TP:33, TN:17, FP:2, FN:8, Loss:0.527007, Accuracy:0.833333, F1:0.868421
Wed, 24 Jan 2018 21:05:09 INFO [Train] Epoch:26, TP:178, TN:62, FP:0, FN:0, Loss:0.003230, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:09 INFO [Test] Epoch:26, TP:39, TN:5, FP:14, FN:2, Loss:0.976799, Accuracy:0.733333, F1:0.829787
Wed, 24 Jan 2018 21:05:14 INFO [Train] Epoch:27, TP:178, TN:62, FP:0, FN:0, Loss:0.008020, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:14 INFO [Test] Epoch:27, TP:40, TN:4, FP:15, FN:1, Loss:1.168056, Accuracy:0.733333, F1:0.833333
Wed, 24 Jan 2018 21:05:19 INFO [Train] Epoch:28, TP:178, TN:62, FP:0, FN:0, Loss:0.004675, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:19 INFO [Test] Epoch:28, TP:39, TN:4, FP:15, FN:2, Loss:1.111095, Accuracy:0.716667, F1:0.821053
Wed, 24 Jan 2018 21:05:24 INFO [Train] Epoch:29, TP:178, TN:62, FP:0, FN:0, Loss:0.002811, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:24 INFO [Test] Epoch:29, TP:40, TN:3, FP:16, FN:1, Loss:1.131093, Accuracy:0.716667, F1:0.824742
Wed, 24 Jan 2018 21:05:29 INFO [Train] Epoch:30, TP:178, TN:62, FP:0, FN:0, Loss:0.007048, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:30 INFO [Test] Epoch:30, TP:39, TN:13, FP:6, FN:2, Loss:0.515030, Accuracy:0.866667, F1:0.906977
Wed, 24 Jan 2018 21:05:34 INFO [Train] Epoch:31, TP:178, TN:62, FP:0, FN:0, Loss:0.001256, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:35 INFO [Test] Epoch:31, TP:39, TN:7, FP:12, FN:2, Loss:0.898300, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:05:39 INFO [Train] Epoch:32, TP:178, TN:62, FP:0, FN:0, Loss:0.001165, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:40 INFO [Test] Epoch:32, TP:39, TN:5, FP:14, FN:2, Loss:1.027699, Accuracy:0.733333, F1:0.829787
Wed, 24 Jan 2018 21:05:45 INFO [Train] Epoch:33, TP:178, TN:62, FP:0, FN:0, Loss:0.001366, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:45 INFO [Test] Epoch:33, TP:39, TN:7, FP:12, FN:2, Loss:0.750436, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:05:50 INFO [Train] Epoch:34, TP:178, TN:62, FP:0, FN:0, Loss:0.005333, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:50 INFO [Test] Epoch:34, TP:40, TN:4, FP:15, FN:1, Loss:1.305853, Accuracy:0.733333, F1:0.833333
Wed, 24 Jan 2018 21:05:55 INFO [Train] Epoch:35, TP:178, TN:62, FP:0, FN:0, Loss:0.000808, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:05:55 INFO [Test] Epoch:35, TP:39, TN:6, FP:13, FN:2, Loss:1.017342, Accuracy:0.750000, F1:0.838710
Wed, 24 Jan 2018 21:06:00 INFO [Train] Epoch:36, TP:178, TN:62, FP:0, FN:0, Loss:0.001390, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:00 INFO [Test] Epoch:36, TP:39, TN:9, FP:10, FN:2, Loss:0.629372, Accuracy:0.800000, F1:0.866667
Wed, 24 Jan 2018 21:06:05 INFO [Train] Epoch:37, TP:178, TN:62, FP:0, FN:0, Loss:0.000604, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:05 INFO [Test] Epoch:37, TP:39, TN:7, FP:12, FN:2, Loss:0.930323, Accuracy:0.766667, F1:0.847826
Wed, 24 Jan 2018 21:06:10 INFO [Train] Epoch:38, TP:178, TN:62, FP:0, FN:0, Loss:0.000909, Accuracy:1.000000, F1:1.000000
Wed, 24 Jan 2018 21:06:10 INFO [Test] Epoch:38, TP:39, TN:8, FP:11, FN:2, Loss:0.687396, Accuracy:0.783333, F1:0.857143
