Tue, 23 Jan 2018 21:56:08 WARNING From /usr/local/lib/python3.6/dist-packages/tensorflow/contrib/training/python/training/training.py:412: get_or_create_global_step (from tensorflow.contrib.framework.python.ops.variables) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.get_or_create_global_step
Tue, 23 Jan 2018 21:56:15 INFO 
=====Config====
model_name = Epilepsy_3D_CNN  
is_training = True      
max_epoch = 500
gpu_num = 1
lr = 1
num_classes = 2
batch_size = 4
image_shape = (61, 73, 61, 2)
plot_batch = 25
dropout_keep_prob = 0.5
train_data_path = tfdata/cnn_tfdata/epilepsy_cnn_train.tfrecords
train_data_length = 240
test_data_path = tfdata/cnn_tfdata/epilepsy_cnn_test.tfrecords
test_data_length = 60
logger_path = logs/Epilepsy_3D_CNN_2018-01-23 21:56:06.log
save_model_path = saved_models/epilepsy_3d_cnn_2018-01-23 21:56:06/
=====Config====

Tue, 23 Jan 2018 22:05:05 INFO [Test] Epoch:16, TP:0, TN:19, FP:0, FN:41, Loss:3.952254, Accuracy:0.316667, F1:0.000000
Tue, 23 Jan 2018 22:05:33 INFO [Train] Epoch:17, TP:164, TN:62, FP:0, FN:14, Loss:0.160811, Accuracy:0.941667, F1:0.959064
Tue, 23 Jan 2018 22:05:36 INFO [Test] Epoch:17, TP:30, TN:18, FP:1, FN:11, Loss:0.611481, Accuracy:0.800000, F1:0.833333
Tue, 23 Jan 2018 22:06:04 INFO [Train] Epoch:18, TP:175, TN:62, FP:0, FN:3, Loss:0.059000, Accuracy:0.987500, F1:0.991501
Tue, 23 Jan 2018 22:06:09 INFO [Test] Epoch:18, TP:32, TN:18, FP:1, FN:9, Loss:0.467637, Accuracy:0.833333, F1:0.864865
Tue, 23 Jan 2018 22:06:37 INFO [Train] Epoch:19, TP:178, TN:62, FP:0, FN:0, Loss:0.006931, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:06:39 INFO [Test] Epoch:19, TP:40, TN:7, FP:12, FN:1, Loss:0.784162, Accuracy:0.783333, F1:0.860215
Tue, 23 Jan 2018 22:07:06 INFO [Train] Epoch:20, TP:177, TN:62, FP:0, FN:1, Loss:0.012691, Accuracy:0.995833, F1:0.997183
Tue, 23 Jan 2018 22:07:08 INFO [Test] Epoch:20, TP:39, TN:5, FP:14, FN:2, Loss:1.090395, Accuracy:0.733333, F1:0.829787
Tue, 23 Jan 2018 22:07:35 INFO [Train] Epoch:21, TP:178, TN:62, FP:0, FN:0, Loss:0.010099, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:07:37 INFO [Test] Epoch:21, TP:34, TN:15, FP:4, FN:7, Loss:0.475606, Accuracy:0.816667, F1:0.860759
Tue, 23 Jan 2018 22:08:04 INFO [Train] Epoch:22, TP:178, TN:62, FP:0, FN:0, Loss:0.001643, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:08:08 INFO [Test] Epoch:22, TP:39, TN:10, FP:9, FN:2, Loss:0.376203, Accuracy:0.816667, F1:0.876404
Tue, 23 Jan 2018 22:08:35 INFO [Train] Epoch:23, TP:178, TN:62, FP:0, FN:0, Loss:0.001029, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:08:37 INFO [Test] Epoch:23, TP:39, TN:5, FP:14, FN:2, Loss:0.902452, Accuracy:0.733333, F1:0.829787
Tue, 23 Jan 2018 22:09:04 INFO [Train] Epoch:24, TP:178, TN:62, FP:0, FN:0, Loss:0.000601, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:09:06 INFO [Test] Epoch:24, TP:40, TN:5, FP:14, FN:1, Loss:0.979178, Accuracy:0.750000, F1:0.842105
Tue, 23 Jan 2018 22:09:33 INFO [Train] Epoch:25, TP:50, TN:62, FP:0, FN:128, Loss:1.691682, Accuracy:0.466667, F1:0.438596
Tue, 23 Jan 2018 22:09:35 INFO [Test] Epoch:25, TP:13, TN:19, FP:0, FN:28, Loss:2.117641, Accuracy:0.533333, F1:0.481481
Tue, 23 Jan 2018 22:10:02 INFO [Train] Epoch:26, TP:175, TN:62, FP:0, FN:3, Loss:0.046574, Accuracy:0.987500, F1:0.991501
Tue, 23 Jan 2018 22:10:08 INFO [Test] Epoch:26, TP:34, TN:18, FP:1, FN:7, Loss:0.395272, Accuracy:0.866667, F1:0.894737
Tue, 23 Jan 2018 22:10:35 INFO [Train] Epoch:27, TP:178, TN:62, FP:0, FN:0, Loss:0.001772, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:10:37 INFO [Test] Epoch:27, TP:39, TN:4, FP:15, FN:2, Loss:0.700723, Accuracy:0.716667, F1:0.821053
Tue, 23 Jan 2018 22:11:04 INFO [Train] Epoch:28, TP:174, TN:62, FP:0, FN:4, Loss:0.058290, Accuracy:0.983333, F1:0.988636
Tue, 23 Jan 2018 22:11:06 INFO [Test] Epoch:28, TP:30, TN:18, FP:1, FN:11, Loss:0.577429, Accuracy:0.800000, F1:0.833333
Tue, 23 Jan 2018 22:11:33 INFO [Train] Epoch:29, TP:178, TN:62, FP:0, FN:0, Loss:0.026698, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:11:35 INFO [Test] Epoch:29, TP:31, TN:18, FP:1, FN:10, Loss:0.522346, Accuracy:0.816667, F1:0.849315
Tue, 23 Jan 2018 22:12:02 INFO [Train] Epoch:30, TP:178, TN:62, FP:0, FN:0, Loss:0.024051, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:12:04 INFO [Test] Epoch:30, TP:31, TN:18, FP:1, FN:10, Loss:0.513670, Accuracy:0.816667, F1:0.849315
Tue, 23 Jan 2018 22:12:31 INFO [Train] Epoch:31, TP:118, TN:62, FP:0, FN:60, Loss:0.599437, Accuracy:0.750000, F1:0.797297
Tue, 23 Jan 2018 22:12:33 INFO [Test] Epoch:31, TP:18, TN:19, FP:0, FN:23, Loss:1.765305, Accuracy:0.616667, F1:0.610169
Tue, 23 Jan 2018 22:13:00 INFO [Train] Epoch:32, TP:178, TN:62, FP:0, FN:0, Loss:0.007494, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:13:02 INFO [Test] Epoch:32, TP:41, TN:3, FP:16, FN:0, Loss:1.598708, Accuracy:0.733333, F1:0.836735
Tue, 23 Jan 2018 22:13:29 INFO [Train] Epoch:33, TP:178, TN:62, FP:0, FN:0, Loss:0.001870, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:13:31 INFO [Test] Epoch:33, TP:37, TN:14, FP:5, FN:4, Loss:0.494984, Accuracy:0.850000, F1:0.891566
Tue, 23 Jan 2018 22:13:58 INFO [Train] Epoch:34, TP:178, TN:62, FP:0, FN:0, Loss:0.000661, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:14:02 INFO [Test] Epoch:34, TP:37, TN:15, FP:4, FN:4, Loss:0.460532, Accuracy:0.866667, F1:0.902439
Tue, 23 Jan 2018 22:14:29 INFO [Train] Epoch:35, TP:178, TN:62, FP:0, FN:0, Loss:0.009164, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:14:31 INFO [Test] Epoch:35, TP:41, TN:2, FP:17, FN:0, Loss:2.679904, Accuracy:0.716667, F1:0.828283
Tue, 23 Jan 2018 22:14:58 INFO [Train] Epoch:36, TP:178, TN:62, FP:0, FN:0, Loss:0.000098, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:15:00 INFO [Test] Epoch:36, TP:38, TN:10, FP:9, FN:3, Loss:0.590679, Accuracy:0.800000, F1:0.863636
Tue, 23 Jan 2018 22:15:27 INFO [Train] Epoch:37, TP:178, TN:61, FP:1, FN:0, Loss:0.003765, Accuracy:0.995833, F1:0.997199
Tue, 23 Jan 2018 22:15:29 INFO [Test] Epoch:37, TP:39, TN:11, FP:8, FN:2, Loss:0.467848, Accuracy:0.833333, F1:0.886364
Tue, 23 Jan 2018 22:15:56 INFO [Train] Epoch:38, TP:178, TN:62, FP:0, FN:0, Loss:0.000881, Accuracy:1.000000, F1:1.000000
Tue, 23 Jan 2018 22:15:58 INFO [Test] Epoch:38, TP:40, TN:5, FP:14, FN:1, Loss:1.012374, Accuracy:0.750000, F1:0.842105
Tue, 23 Jan 2018 22:16:25 INFO [Train] Epoch:39, TP:178, TN:62, FP:0, FN:0, Loss:0.000199, Accuracy:1.000000, F1:1.000000
